collective_type,array_dim,buffer_size,algo_name,datatype,mean,median,std,min,max,nnodes,n_iter,percentile_10,percentile_25,percentile_75,percentile_90,iqr,standard_error,ci_lower,ci_upper,num_outliers,system,timestamp,test_id,MPI_Op,CUDA,notes,mpi_lib,mpi_lib_version,libswing_version
ALLREDUCE,512,2048,default-trix3,int32,676397.73,674499.5,6830.9620953849435,666700,697540,64x64,100,669914.9,671939.75,679697.5,686502.0,7757.75,683.0962095384943,675058.8614293046,677736.5985706954,5,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,8,32,default-rdbc,int32,141892.0,123719.0,156407.39805541374,116709,1686830,64x64,100,118510.0,120380.0,128039.25,136588.0,7659.25,15640.739805541374,111236.14998113891,172547.8500188611,8,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,64,256,SWING-L-UTOFU-0-1,int32,60217.17,55320.0,19982.1854579993,43630,134100,64x64,100,44848.0,45314.0,62112.25,92487.9,16798.25,1998.21854579993,56300.661650232134,64133.67834976786,12,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,RECDOUB-B_CONT-UTOFU-65536-1,int32,732250.81,688345.0,73799.60283647955,673040,1014990,64x64,100,674577.9,676737.25,777759.25,811952.0,101022.0,7379.960283647955,717786.08784405,746715.5321559501,4,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,512,2048,SWING-L-UTOFU-0-2,int32,116925.75,105379.5,25002.690172178663,93119,208609,64x64,100,95543.1,102031.5,128199.75,156781.1,26168.25,2500.2690172178663,112025.22272625298,121826.27727374702,7,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,SWING-B_CONT-UTOFU-1048576-6,int32,2743284.9,2417734.5,1120614.1972284617,2201210,7572179,64x64,100,2222003.9,2252392.25,2580559.75,2961380.0000000005,328167.5,112061.41972284617,2523644.517343221,2962925.2826567786,9,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,SWING-L-UTOFU-0-2,int32,219526728.6,220018229.5,3840167.7565234974,215004900,228032429,64x64,10,215773356.0,216418411.75,221045157.25,221939510.9,4626745.5,1214367.6707753178,217146567.96528038,221906889.2347196,1,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,64,256,SWING-L-UTOFU-0-2,int32,85039.62,77814.5,17601.610542002207,68610,138810,64x64,100,69896.1,70530.0,99274.0,109411.00000000001,28744.0,1760.1610542002206,81589.70433376756,88489.53566623243,0,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,SWING-L-UTOFU-65536-1,int32,272672910.5,272675290.0,37030.88081063035,272586879,272715800,64x64,10,272643210.0,272661032.25,272700716.5,272703704.0,39684.25,11710.192712381428,272649958.52228373,272695862.47771627,1,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,SWING-L-UTOFU-4096-2,int32,501109.62,501610.0,4959.626547483696,488229,512830,64x64,100,493919.1,498217.5,504072.5,508051.0,5855.0,495.96265474836963,500137.53319669317,502081.7068033068,1,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,default-default,int32,828921.22,827774.5,6813.787077312404,818629,858979,64x64,100,821468.0,823845.0,831477.5,840298.0,7632.5,681.3787077312404,827585.7177328467,830256.7222671532,2,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,8,32,default-ring,int32,62225.98,56604.5,16049.155371576728,46119,127020,64x64,100,48296.0,51972.5,67200.0,85621.90000000001,15227.5,1604.9155371576728,59080.34554717097,65371.61445282904,6,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,134217728,536870912,default-ring,int32,1515822945.1,1515792379.0,335142.58197385183,1515442039,1516267439,64x64,10,1515464035.0,1515497324.0,1516115627.25,1516244174.0,618303.25,105981.38999470614,1515615221.5756104,1516030668.6243894,0,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,RECDOUB-L-UTOFU-0-1,int32,46261017.87,46262239.0,17205.2815385658,46201989,46308489,64x64,100,46253659.9,46259324.25,46268075.0,46274352.9,8750.75,1720.52815385658,46257645.634818435,46264390.10518156,15,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,SWING-B_CONT-UTOFU-4096-1,int32,4613926.62,4571619.5,320027.0897890428,4456930,7389720,64x64,100,4488653.9,4515732.5,4620084.75,4660009.0,104352.25,32002.708978904277,4551201.3104013475,4676651.929598653,4,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,SWING-L-UTOFU-65536-6,int32,218718975.5,218580869.5,2845776.00029046,214742679,225455110,64x64,10,215758968.0,217783584.25,219416687.25,220208218.0,1633103.0,899913.3871561844,216955145.26117387,220482805.73882613,2,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,default-segmented_ring,int32,23323911.58,23234639.5,368628.812002271,22866760,24517869,64x64,100,22967729.0,23062122.25,23438489.75,23878462.0,376367.5,36862.8812002271,23251660.332847554,23396162.827152442,8,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,4096,16384,default-rdbc,int32,170245.51,168194.0,7759.185806103393,163220,228110,64x64,100,165942.0,166874.25,170399.75,176985.0,3525.5,775.9185806103393,168724.70958200374,171766.31041799628,14,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,RECDOUB-B_CONT-UTOFU-65536-1,int32,3835441.93,3826629.5,32313.845735337225,3789639,3968030,64x64,100,3804973.9,3813099.25,3847539.25,3887541.0,34440.0,3231.3845735337227,3829108.416235874,3841775.4437641264,6,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
