Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008185582 End: 1725472008185583
Timer [== swing_coll_step_utofu (indexes calc)]: 10 us | Start: 1725472008185583 End: 1725472008185593
Timer [== swing_coll_step_utofu (misc)]: 6 us | Start: 1725472008185593 End: 1725472008185599
Timer [== swing_coll_step_utofu (sends)]: 8 us | Start: 1725472008185599 End: 1725472008185607
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 24 us | Start: 1725472008185607 End: 1725472008185631
Timer [== swing_coll_step_utofu (recv + aggregate)]: 2312 us | Start: 1725472008185631 End: 1725472008187943
Timer [== swing_coll_step_utofu (wait isends)]: 7 us | Start: 1725472008187943 End: 1725472008187950
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008187950 End: 1725472008187954
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 0 us | Start: 1725472008187097 End: 1725472008187097
Timer [== swing_coll_step_utofu (indexes calc)]: 10 us | Start: 1725472008187097 End: 1725472008187107
Timer [== swing_coll_step_utofu (misc)]: 6 us | Start: 1725472008187107 End: 1725472008187113
Timer [== swing_coll_step_utofu (sends)]: 8 us | Start: 1725472008187113 End: 1725472008187121
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 13 us | Start: 1725472008187121 End: 1725472008187134
Timer [== swing_coll_step_utofu (recv + aggregate)]: 996 us | Start: 1725472008187134 End: 1725472008188130
Timer [== swing_coll_step_utofu (wait isends)]: 9 us | Start: 1725472008188130 End: 1725472008188139
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008188139 End: 1725472008188143
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008186721 End: 1725472008186722
Timer [== swing_coll_step_utofu (indexes calc)]: 9 us | Start: 1725472008186722 End: 1725472008186731
Timer [== swing_coll_step_utofu (misc)]: 6 us | Start: 1725472008186731 End: 1725472008186737
Timer [== swing_coll_step_utofu (sends)]: 8 us | Start: 1725472008186737 End: 1725472008186745
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 13 us | Start: 1725472008186745 End: 1725472008186758
Timer [== swing_coll_step_utofu (recv + aggregate)]: 413 us | Start: 1725472008186758 End: 1725472008187171
Timer [== swing_coll_step_utofu (wait isends)]: 1065 us | Start: 1725472008187171 End: 1725472008188236
Timer [== swing_coll_step_utofu (profile writing)]: 5 us | Start: 1725472008188236 End: 1725472008188241
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008187743 End: 1725472008187744
Timer [== swing_coll_step_utofu (indexes calc)]: 9 us | Start: 1725472008187744 End: 1725472008187753
Timer [== swing_coll_step_utofu (misc)]: 5 us | Start: 1725472008187753 End: 1725472008187758
Timer [== swing_coll_step_utofu (sends)]: 7 us | Start: 1725472008187758 End: 1725472008187765
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 12 us | Start: 1725472008187765 End: 1725472008187777
Timer [== swing_coll_step_utofu (recv + aggregate)]: 713 us | Start: 1725472008187777 End: 1725472008188490
Timer [== swing_coll_step_utofu (wait isends)]: 7 us | Start: 1725472008188490 End: 1725472008188497
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008188497 End: 1725472008188501
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 0 us | Start: 1725472008188270 End: 1725472008188270
Timer [== swing_coll_step_utofu (indexes calc)]: 11 us | Start: 1725472008188270 End: 1725472008188281
Timer [== swing_coll_step_utofu (misc)]: 5 us | Start: 1725472008188281 End: 1725472008188286
Timer [== swing_coll_step_utofu (sends)]: 9 us | Start: 1725472008188286 End: 1725472008188295
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 11 us | Start: 1725472008188295 End: 1725472008188306
Timer [== swing_coll_step_utofu (recv + aggregate)]: 159 us | Start: 1725472008188306 End: 1725472008188465
Timer [== swing_coll_step_utofu (wait isends)]: 381 us | Start: 1725472008188465 End: 1725472008188846
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008188846 End: 1725472008188850
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008187978 End: 1725472008187979
Timer [== swing_coll_step_utofu (indexes calc)]: 11 us | Start: 1725472008187979 End: 1725472008187990
Timer [== swing_coll_step_utofu (misc)]: 11 us | Start: 1725472008187990 End: 1725472008188001
Timer [== swing_coll_step_utofu (sends)]: 6 us | Start: 1725472008188001 End: 1725472008188007
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 16 us | Start: 1725472008188007 End: 1725472008188023
Timer [== swing_coll_step_utofu (recv + aggregate)]: 236 us | Start: 1725472008188023 End: 1725472008188259
Timer [== swing_coll_step_utofu (wait isends)]: 695 us | Start: 1725472008188259 End: 1725472008188954
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008188954 End: 1725472008188958
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 0 us | Start: 1725472008188862 End: 1725472008188862
Timer [== swing_coll_step_utofu (indexes calc)]: 17 us | Start: 1725472008188862 End: 1725472008188879
Timer [== swing_coll_step_utofu (misc)]: 7 us | Start: 1725472008188879 End: 1725472008188886
Timer [== swing_coll_step_utofu (sends)]: 6 us | Start: 1725472008188886 End: 1725472008188892
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 11 us | Start: 1725472008188892 End: 1725472008188903
Timer [== swing_coll_step_utofu (recv + aggregate)]: 78 us | Start: 1725472008188903 End: 1725472008188981
Timer [== swing_coll_step_utofu (wait isends)]: 133 us | Start: 1725472008188981 End: 1725472008189114
Timer [== swing_coll_step_utofu (profile writing)]: 3 us | Start: 1725472008189114 End: 1725472008189117
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 0 us | Start: 1725472008188164 End: 1725472008188164
Timer [== swing_coll_step_utofu (indexes calc)]: 9 us | Start: 1725472008188164 End: 1725472008188173
Timer [== swing_coll_step_utofu (misc)]: 6 us | Start: 1725472008188173 End: 1725472008188179
Timer [== swing_coll_step_utofu (sends)]: 7 us | Start: 1725472008188179 End: 1725472008188186
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 13 us | Start: 1725472008188186 End: 1725472008188199
Timer [== swing_coll_step_utofu (recv + aggregate)]: 1071 us | Start: 1725472008188199 End: 1725472008189270
Timer [== swing_coll_step_utofu (wait isends)]: 7 us | Start: 1725472008189270 End: 1725472008189277
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008189277 End: 1725472008189281
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008189150 End: 1725472008189151
Timer [== swing_coll_step_utofu (indexes calc)]: 10 us | Start: 1725472008189151 End: 1725472008189161
Timer [== swing_coll_step_utofu (misc)]: 5 us | Start: 1725472008189161 End: 1725472008189166
Timer [== swing_coll_step_utofu (sends)]: 6 us | Start: 1725472008189166 End: 1725472008189172
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 4 us | Start: 1725472008189172 End: 1725472008189176
